"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"06/01/2017 00:00:00 - 00:05:00","42886.7118055556","72,255,636 KByte","73989771213.2439","2,059,061 kbit/s","257382583.2721","39,634,004 KByte","40585220533.6674","1,129,446 kbit/s","141180716.3658","32,621,632 KByte","33404550679.5764","929,615 kbit/s","116201866.9064","0 %","0.0000","96 %","0000009582"
"06/01/2017 00:05:00 - 00:10:00","42886.7152777778","70,939,209 KByte","72641749566.6070","1,937,242 kbit/s","242155308.9093","37,472,945 KByte","38372295631.4502","1,023,329 kbit/s","127916179.8502","33,466,264 KByte","34269453935.1568","913,913 kbit/s","114239129.0591","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:10:00 - 00:15:00","42886.7187500000","71,428,602 KByte","73142888029.0427","1,950,542 kbit/s","243817754.0219","36,915,359 KByte","37801327368.8049","1,008,069 kbit/s","126008624.8502","34,513,243 KByte","35341560660.2378","942,473 kbit/s","117809129.1718","0 %","0.0000","100 %","0000010000"
"06/01/2017 00:15:00 - 00:20:00","42886.7222222222","72,031,131 KByte","73759878570.3280","1,967,127 kbit/s","245890850.9862","36,628,616 KByte","37507702904.9620","1,000,305 kbit/s","125038180.1679","35,402,515 KByte","36252175665.3660","966,821 kbit/s","120852670.8183","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:20:00 - 00:25:00","42886.7256944444","69,875,312 KByte","71552319833.5145","1,908,253 kbit/s","238531585.9370","35,573,662 KByte","36427429723.4320","971,495 kbit/s","121436909.4357","34,301,650 KByte","35124890110.0825","936,757 kbit/s","117094676.5013","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:25:00 - 00:30:00","42886.7291666667","69,525,094 KByte","71193695750.9694","1,898,688 kbit/s","237336052.7752","35,896,172 KByte","36757680211.5693","980,303 kbit/s","122537854.4907","33,628,921 KByte","34436015539.4001","918,386 kbit/s","114798198.2845","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:30:00 - 00:35:00","42886.7326388889","65,901,124 KByte","67482751393.7349","1,799,660 kbit/s","224957501.8126","33,029,354 KByte","33822058910.4452","901,982 kbit/s","112747712.8823","32,871,770 KByte","33660692483.2897","897,678 kbit/s","112209788.9302","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:35:00 - 00:40:00","42886.7361111111","67,435,046 KByte","69053486955.0028","1,841,549 kbit/s","230193636.0924","33,722,135 KByte","34531465885.1327","920,900 kbit/s","115112560.4545","33,712,911 KByte","34522021069.8702","920,649 kbit/s","115081075.6379","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:40:00 - 00:45:00","42886.7395833333","66,874,052 KByte","68479028930.9964","1,826,290 kbit/s","228286258.3958","34,991,212 KByte","35831000837.2111","955,589 kbit/s","119448614.3188","31,882,840 KByte","32648028093.7852","870,701 kbit/s","108837644.0770","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:45:00 - 00:50:00","42886.7430555556","66,231,591 KByte","67821148701.6532","1,808,685 kbit/s","226085568.0434","33,674,561 KByte","34482750252.3601","919,601 kbit/s","114950164.1855","32,557,030 KByte","33338398449.2931","889,083 kbit/s","111135403.8579","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:50:00 - 00:55:00","42886.7465277778","64,040,778 KByte","65577756415.3097","1,748,915 kbit/s","218614382.8226","30,782,628 KByte","31521411374.9397","840,655 kbit/s","105081879.4377","33,258,149 KByte","34056345040.3700","908,260 kbit/s","113532503.3849","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:55:00 - 01:00:00","42886.7500000000","64,405,101 KByte","65950823180.2188","1,758,865 kbit/s","219858063.0737","32,282,057 KByte","33056826517.6003","881,604 kbit/s","110200441.7695","32,123,044 KByte","32893996662.6185","877,261 kbit/s","109657621.3042","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:00:00 - 01:05:00","42886.7534722222","74,037,715 KByte","75814619713.3453","2,021,993 kbit/s","252749098.9243","38,768,055 KByte","39698488658.9687","1,058,768 kbit/s","132345941.6554","35,269,659 KByte","36116131054.3766","963,225 kbit/s","120403157.2689","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:05:00 - 01:10:00","42886.7569444444","85,877,421 KByte","87938479061.5742","2,345,261 kbit/s","293157579.2965","50,203,528 KByte","51408412625.1055","1,371,028 kbit/s","171378513.2683","35,673,893 KByte","36530066436.4687","974,233 kbit/s","121779066.0282","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:10:00 - 01:15:00","42886.7604166667","91,957,023 KByte","94163991598.3321","2,511,207 kbit/s","313900898.7210","55,473,972 KByte","56805347758.4069","1,514,910 kbit/s","189363783.4469","36,483,051 KByte","37358643839.9251","996,297 kbit/s","124537115.2741","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:15:00 - 01:20:00","42886.7638888889","73,905,116 KByte","75678838547.2392","2,018,304 kbit/s","252288023.9599","38,125,660 KByte","39040675916.9260","1,041,189 kbit/s","130148601.2499","35,779,456 KByte","36638162630.3132","977,115 kbit/s","122139422.7100","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:20:00 - 01:25:00","42886.7673611111","67,358,492 KByte","68975095886.2380","1,839,581 kbit/s","229947645.9736","34,026,744 KByte","34843385498.9240","929,281 kbit/s","116160106.3439","33,331,748 KByte","34131710387.3140","910,300 kbit/s","113787539.6297","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:25:00 - 01:30:00","42886.7708333333","64,957,843 KByte","66516831215.3300","1,773,900 kbit/s","221737553.2213","31,900,953 KByte","32666575360.3180","871,167 kbit/s","108895844.2573","33,056,890 KByte","33850255855.0120","902,734 kbit/s","112841708.9640","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:30:00 - 01:35:00","42886.7743055556","61,811,961 KByte","63295448511.0542","1,687,991 kbit/s","210998894.9632","30,330,280 KByte","31058206923.2941","828,274 kbit/s","103534258.6949","31,481,681 KByte","32237241587.7601","859,717 kbit/s","107464636.2683","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:35:00 - 01:40:00","42886.7777777778","61,008,810 KByte","62473021639.1958","1,666,058 kbit/s","208257289.2833","29,875,970 KByte","30592992820.8619","815,868 kbit/s","101983441.6323","31,132,841 KByte","31880028818.3339","850,191 kbit/s","106273847.6510","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:40:00 - 01:45:00","42886.7812500000","60,934,533 KByte","62396962076.8896","1,664,030 kbit/s","208003740.5057","30,978,109 KByte","31721583408.3156","845,965 kbit/s","105745661.0718","29,956,424 KByte","30675378668.5740","818,065 kbit/s","102258079.4339","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:45:00 - 01:50:00","42886.7847222222","61,220,446 KByte","62689736621.1980","1,671,893 kbit/s","208986687.4061","30,164,682 KByte","30888633928.8495","823,779 kbit/s","102972410.3372","31,055,764 KByte","31801102692.3486","848,114 kbit/s","106014277.0689","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:50:00 - 01:55:00","42886.7881944444","60,493,307 KByte","61945146155.3732","1,652,036 kbit/s","206504470.9650","29,084,733 KByte","29782766217.0208","794,287 kbit/s","99285815.9717","31,408,574 KByte","32162379938.3524","857,749 kbit/s","107218654.9933","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:55:00 - 02:00:00","42886.7916666667","65,763,932 KByte","67342266692.0892","1,796,033 kbit/s","224504156.1945","32,920,103 KByte","33710185243.3962","899,058 kbit/s","112382268.4471","32,843,830 KByte","33632081448.6930","896,975 kbit/s","112121887.7473","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:00:00 - 02:05:00","42886.7951388889","70,175,542 KByte","71859754976.7407","1,916,388 kbit/s","239548486.4882","32,980,217 KByte","33771742629.7250","900,640 kbit/s","112579980.7645","37,195,325 KByte","38088012347.0157","1,015,748 kbit/s","126968505.7238","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:05:00 - 02:10:00","42886.7986111111","66,668,791 KByte","68268841520.5320","1,820,685 kbit/s","227585563.6248","30,998,332 KByte","31742291769.9173","846,546 kbit/s","105818221.0552","35,670,459 KByte","36526549750.6147","974,139 kbit/s","121767342.5696","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:10:00 - 02:15:00","42886.8020833333","85,716,930 KByte","87774136650.7284","2,340,878 kbit/s","292609716.4741","51,183,206 KByte","52411602498.8146","1,397,783 kbit/s","174722813.9441","34,533,725 KByte","35362534151.9138","943,095 kbit/s","117886902.5300","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:15:00 - 02:20:00","42886.8055555556","79,488,951 KByte","81396686029.7200","2,170,795 kbit/s","271349421.7079","45,955,067 KByte","47057989085.3417","1,255,005 kbit/s","156875651.1829","33,533,884 KByte","34338696944.3783","915,790 kbit/s","114473770.5250","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:20:00 - 02:25:00","42886.8090277778","69,356,428 KByte","71020982294.4539","1,894,082 kbit/s","236760283.6765","38,281,690 KByte","39200450890.3330","1,045,450 kbit/s","130681237.7582","31,074,738 KByte","31820531404.1209","848,632 kbit/s","106079045.9183","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:25:00 - 02:30:00","42886.8125000000","66,994,202 KByte","68602062556.2490","1,829,571 kbit/s","228696411.4953","36,308,286 KByte","37179684601.7103","991,557 kbit/s","123944676.4733","30,685,916 KByte","31422377954.5387","838,014 kbit/s","104751735.0220","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:30:00 - 02:35:00","42886.8159722222","63,213,913 KByte","64731047188.7290","1,726,276 kbit/s","215784542.9320","34,390,129 KByte","35215492345.4200","939,142 kbit/s","117392800.6714","28,823,784 KByte","29515554843.3090","787,134 kbit/s","98391742.2605","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:35:00 - 02:40:00","42886.8194444444","57,752,289 KByte","59138344033.8765","1,577,128 kbit/s","197140956.1767","28,813,974 KByte","29505509590.4644","786,866 kbit/s","98358255.8519","28,938,315 KByte","29632834443.4121","790,262 kbit/s","98782700.3247","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:40:00 - 02:45:00","42886.8229166667","58,872,831 KByte","60285779196.4280","1,607,782 kbit/s","200972694.5909","30,070,124 KByte","30791806767.8511","821,197 kbit/s","102649620.8549","28,802,707 KByte","29493972428.5769","786,585 kbit/s","98323073.7360","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:45:00 - 02:50:00","42886.8263888889","56,747,527 KByte","58109467989.7045","1,549,689 kbit/s","193711140.7084","28,969,095 KByte","29664353360.9675","791,102 kbit/s","98887770.3879","27,778,432 KByte","28445114628.7370","758,587 kbit/s","94823370.3205","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:50:00 - 02:55:00","42886.8298611111","56,974,800 KByte","58342195269.5025","1,555,896 kbit/s","194486950.0283","29,409,615 KByte","30115445892.0530","803,132 kbit/s","100391512.4077","27,565,185 KByte","28226749377.4495","752,764 kbit/s","94095437.6207","0 %","0.0000","100 %","0000009999"
"06/01/2017 02:55:00 - 03:00:00","42886.8333333333","58,330,115 KByte","59730038260.9577","1,592,960 kbit/s","199120039.5405","30,126,086 KByte","30849112207.6838","822,725 kbit/s","102840658.0914","28,204,029 KByte","28880926053.2739","770,235 kbit/s","96279381.4491","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:00:00 - 03:05:00","42886.8368055556","58,053,876 KByte","59447168864.5725","1,585,416 kbit/s","198177047.2533","30,769,171 KByte","31507631229.9749","840,288 kbit/s","105035941.0274","27,284,705 KByte","27939537634.5976","745,129 kbit/s","93141106.2259","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:05:00 - 03:10:00","42886.8402777778","59,214,437 KByte","60635583659.6533","1,617,111 kbit/s","202138826.0815","29,077,818 KByte","29775686082.4563","794,098 kbit/s","99262213.1628","30,136,619 KByte","30859897577.1970","823,013 kbit/s","102876612.9186","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:10:00 - 03:15:00","42886.8437500000","56,404,493 KByte","57758200787.4213","1,540,270 kbit/s","192533753.7499","27,615,764 KByte","28278541889.6637","754,120 kbit/s","94264948.4638","28,788,729 KByte","29479658897.7577","786,150 kbit/s","98268805.2860","0 %","0.0000","100 %","0000010000"
"06/01/2017 03:15:00 - 03:20:00","42886.8472222222","56,617,799 KByte","57976625894.1690","1,546,146 kbit/s","193268304.2008","27,467,283 KByte","28126497783.2089","750,090 kbit/s","93761243.3603","29,150,516 KByte","29850128110.9601","796,056 kbit/s","99507060.8406","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:20:00 - 03:25:00","42886.8506944444","57,803,085 KByte","59190358768.2043","1,578,515 kbit/s","197314350.1840","28,587,112 KByte","29273202590.1351","780,671 kbit/s","97583847.5570","29,215,973 KByte","29917156178.0692","797,844 kbit/s","99730502.6271","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:25:00 - 03:30:00","42886.8541666667","58,342,194 KByte","59742406952.3920","1,593,237 kbit/s","199154633.4835","25,941,627 KByte","26564226491.2080","708,427 kbit/s","88553325.1924","32,400,567 KByte","33178180461.1840","884,810 kbit/s","110601308.2912","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:30:00 - 03:35:00","42886.8576388889","57,284,035 KByte","58658852095.6839","1,564,340 kbit/s","195542543.1552","27,178,299 KByte","27830578129.3589","742,198 kbit/s","92774778.7498","30,105,736 KByte","30828273966.3250","822,142 kbit/s","102767764.4054","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:35:00 - 03:40:00","42886.8611111111","55,285,612 KByte","56612466495.0114","1,509,766 kbit/s","188720803.0369","25,704,177 KByte","26321077636.4004","701,942 kbit/s","87742774.9730","29,581,434 KByte","30291388858.6110","807,824 kbit/s","100978028.0639","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:40:00 - 03:45:00","42886.8645833333","59,793,884 KByte","61228937132.8530","1,632,935 kbit/s","204116868.7964","29,559,215 KByte","30268636306.5037","807,244 kbit/s","100905544.9095","30,234,669 KByte","30960300826.3493","825,691 kbit/s","103211323.8869","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:45:00 - 03:50:00","42886.8680555556","56,349,610 KByte","57702000432.8688","1,538,823 kbit/s","192352824.9646","28,020,610 KByte","28693104792.7048","765,200 kbit/s","95650059.3130","28,329,000 KByte","29008895640.1640","773,622 kbit/s","96702765.6516","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:50:00 - 03:55:00","42886.8715277778","58,164,415 KByte","59560360802.8808","1,588,488 kbit/s","198561010.8110","29,782,662 KByte","30497445540.2644","813,374 kbit/s","101671708.0286","28,381,753 KByte","29062915262.6163","775,114 kbit/s","96889302.7824","0 %","0.0000","100 %","0000009999"
"06/01/2017 03:55:00 - 04:00:00","42886.8750000000","58,136,343 KByte","59531614918.3230","1,587,668 kbit/s","198458562.2506","30,397,670 KByte","31127214570.5594","830,142 kbit/s","103767758.6777","27,738,672 KByte","28404400347.7636","757,526 kbit/s","94690803.5729","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:00:00 - 04:05:00","42886.8784722222","58,512,518 KByte","59916818035.7994","1,597,942 kbit/s","199742701.0561","28,628,674 KByte","29315761994.9076","781,832 kbit/s","97728979.5476","29,883,844 KByte","30601056040.8917","816,110 kbit/s","102013721.5085","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:05:00 - 04:10:00","42886.8819444444","57,552,403 KByte","58933660458.2450","1,571,669 kbit/s","196458632.1030","28,135,786 KByte","28811045153.9400","768,346 kbit/s","96043220.0611","29,416,617 KByte","30122615304.3050","803,323 kbit/s","100415412.0418","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:10:00 - 04:15:00","42886.8854166667","58,695,225 KByte","60103910206.5250","1,602,931 kbit/s","200366403.9955","29,737,022 KByte","30450710493.5180","812,100 kbit/s","101512519.5637","28,958,203 KByte","29653199713.0070","790,831 kbit/s","98853884.4318","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:15:00 - 04:20:00","42886.8888888889","60,303,442 KByte","61750724422.2625","1,646,851 kbit/s","205856333.7076","31,573,568 KByte","32331333927.3223","862,255 kbit/s","107781891.2802","28,729,874 KByte","29419390494.9402","784,596 kbit/s","98074442.4274","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:20:00 - 04:25:00","42886.8923611111","58,329,565 KByte","59729474556.0010","1,592,839 kbit/s","199104885.3495","27,827,260 KByte","28495114591.7522","759,895 kbit/s","94986881.5352","30,502,305 KByte","31234359964.2488","832,944 kbit/s","104118003.8143","0 %","0.0000","100 %","0000010000"
"06/01/2017 04:25:00 - 04:30:00","42886.8958333333","58,619,756 KByte","60026630207.7683","1,600,763 kbit/s","200095437.2071","28,707,259 KByte","29396233181.6425","783,926 kbit/s","97990710.2958","29,912,497 KByte","30630397026.1258","816,838 kbit/s","102104726.9113","0 %","0.0000","100 %","0000010000"
"06/01/2017 04:30:00 - 04:35:00","42886.8993055556","60,650,721 KByte","62106337803.0063","1,656,335 kbit/s","207041830.1930","30,625,520 KByte","31360532501.8680","836,365 kbit/s","104545562.8958","30,025,200 KByte","30745805301.1383","819,970 kbit/s","102496267.2972","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:35:00 - 04:40:00","42886.9027777778","58,824,311 KByte","60236094611.8143","1,606,403 kbit/s","200800368.7306","28,391,571 KByte","29072968478.9710","775,331 kbit/s","96916356.0203","30,432,740 KByte","31163126132.8433","831,072 kbit/s","103884012.7103","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:40:00 - 04:45:00","42886.9062500000","59,905,809 KByte","61343547970.9248","1,635,992 kbit/s","204498943.1307","29,215,970 KByte","29917152913.2202","797,871 kbit/s","99733816.4257","30,689,839 KByte","31426395057.7047","838,121 kbit/s","104765126.7050","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:45:00 - 04:50:00","42886.9097222222","56,589,430 KByte","57947576086.2858","1,545,475 kbit/s","193184344.8669","26,478,703 KByte","27114192042.7786","723,142 kbit/s","90392692.5016","30,110,727 KByte","30833384043.5072","822,333 kbit/s","102791652.3653","0 %","0.0000","100 %","0000009999"
"06/01/2017 04:50:00 - 04:55:00","42886.9131944444","57,257,734 KByte","58631919601.0479","1,563,570 kbit/s","195446246.8784","27,552,137 KByte","28213388011.0379","752,382 kbit/s","94047761.6288","29,705,597 KByte","30418531590.0100","811,188 kbit/s","101398485.2495","0 %","0.0000","100 %","0000010000"
"06/01/2017 04:55:00 - 05:00:00","42886.9166666667","56,786,671 KByte","58149550740.8104","1,550,758 kbit/s","193844758.7866","26,878,853 KByte","27523945434.8532","734,021 kbit/s","91752601.6230","29,907,818 KByte","30625605305.9572","816,737 kbit/s","102092157.1637","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:00:00 - 05:05:00","42886.9201388889","60,872,777 KByte","62333724093.4942","1,662,399 kbit/s","207799860.2977","29,027,920 KByte","29724590532.8908","792,735 kbit/s","99091877.6307","31,844,857 KByte","32609133560.6035","869,664 kbit/s","108707982.6669","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:05:00 - 05:10:00","42886.9236111111","58,879,361 KByte","60292465397.2495","1,607,960 kbit/s","200994984.1559","28,638,679 KByte","29326006816.0534","782,105 kbit/s","97763132.3667","30,240,682 KByte","30966458581.1962","825,855 kbit/s","103231851.7892","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:10:00 - 05:15:00","42886.9270833333","56,839,751 KByte","58203904550.5903","1,552,156 kbit/s","194019482.4847","26,328,771 KByte","26960661532.3000","718,975 kbit/s","89871867.5033","30,510,980 KByte","31243243018.2903","833,181 kbit/s","104147614.9815","0 %","0.0000","100 %","0000010000"
"06/01/2017 05:15:00 - 05:20:00","42886.9305555556","57,916,978 KByte","59306985767.5894","1,581,625 kbit/s","197703132.7675","26,186,091 KByte","26814557030.5558","715,103 kbit/s","89387815.9562","31,730,887 KByte","32492428737.0336","866,523 kbit/s","108315316.8112","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:20:00 - 05:25:00","42886.9340277778","63,263,644 KByte","64781971644.1782","1,727,692 kbit/s","215961501.6308","28,025,626 KByte","28698240570.1660","765,363 kbit/s","95670368.9374","35,238,019 KByte","36083731074.0123","962,329 kbit/s","120291132.6933","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:25:00 - 05:30:00","42886.9375000000","62,671,818 KByte","64175941383.6015","1,711,473 kbit/s","213934066.8831","28,265,878 KByte","28944259265.0152","771,898 kbit/s","96487296.7032","34,405,940 KByte","35231682118.5863","939,574 kbit/s","117446770.1800","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:30:00 - 05:35:00","42886.9409722222","62,245,837 KByte","63739736982.9144","1,699,953 kbit/s","212494122.4927","27,328,514 KByte","27984398743.7996","746,350 kbit/s","93293768.3151","34,917,322 KByte","35755338239.1148","953,603 kbit/s","119200354.1776","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:35:00 - 05:40:00","42886.9444444444","58,227,392 KByte","59624849218.9955","1,590,049 kbit/s","198756122.6007","25,282,222 KByte","25888995386.3684","690,396 kbit/s","86299527.9388","32,945,170 KByte","33735853832.6271","899,653 kbit/s","112456594.6619","0 %","0.0000","100 %","0000010000"
"06/01/2017 05:40:00 - 05:45:00","42886.9479166667","61,426,015 KByte","62900239383.5610","1,677,396 kbit/s","209674453.7603","27,360,235 KByte","28016881077.1266","747,142 kbit/s","93392716.6810","34,065,780 KByte","34883358306.4344","930,254 kbit/s","116281737.0794","0 %","0.0000","100 %","0000010000"
"06/01/2017 05:45:00 - 05:50:00","42886.9513888889","61,569,121 KByte","63046779944.7674","1,681,416 kbit/s","210176950.8443","28,907,087 KByte","29600856931.2250","789,435 kbit/s","98679391.0432","32,662,034 KByte","33445923013.5424","891,980 kbit/s","111497559.8011","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:50:00 - 05:55:00","42886.9548611111","64,204,642 KByte","65745553566.1524","1,753,390 kbit/s","219173762.5968","31,061,139 KByte","31806606799.8772","848,261 kbit/s","106032625.9289","33,143,503 KByte","33938946766.2753","905,129 kbit/s","113141136.6679","0 %","0.0000","100 %","0000009999"
"06/01/2017 05:55:00 - 06:00:00","42886.9583333333","62,958,271 KByte","64469269928.2058","1,719,352 kbit/s","214919058.3332","29,633,697 KByte","30344905982.2657","809,278 kbit/s","101159802.5878","33,324,574 KByte","34124363945.9401","910,074 kbit/s","113759255.7454","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:00:00 - 06:05:00","42886.9618055556","61,871,492 KByte","63356407835.1923","1,689,617 kbit/s","211202106.2577","27,783,387 KByte","28450188621.0864","758,722 kbit/s","94840284.7559","34,088,105 KByte","34906219214.1059","930,895 kbit/s","116361821.5018","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:05:00 - 06:10:00","42886.9652777778","63,094,747 KByte","64609021196.8502","1,723,022 kbit/s","215377762.5070","28,537,164 KByte","29222055481.2860","779,307 kbit/s","97413345.8273","34,557,584 KByte","35386965715.5642","943,715 kbit/s","117964416.6797","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:10:00 - 06:15:00","42886.9687500000","73,172,934 KByte","74929083910.7355","1,998,242 kbit/s","249780265.0535","39,356,477 KByte","40301031950.1361","1,074,766 kbit/s","134345729.5491","33,816,457 KByte","34628051960.5994","923,476 kbit/s","115434535.5044","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:15:00 - 06:20:00","42886.9722222222","79,028,293 KByte","80924971879.7333","2,158,143 kbit/s","269767890.7918","42,959,035 KByte","43990052329.9000","1,173,146 kbit/s","146643283.9853","36,069,257 KByte","36934919549.8333","984,997 kbit/s","123124606.8066","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:20:00 - 06:25:00","42886.9756944444","70,730,525 KByte","72428057830.4268","1,931,608 kbit/s","241451004.5352","36,107,719 KByte","36974303779.2862","986,080 kbit/s","123260005.2648","34,622,807 KByte","35453754051.1407","945,528 kbit/s","118190999.2704","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:25:00 - 06:30:00","42886.9791666667","69,506,332 KByte","71174483461.6501","1,898,049 kbit/s","237256186.7451","36,029,455 KByte","36894161983.2904","983,877 kbit/s","122984639.4323","33,476,876 KByte","34280321478.3597","914,172 kbit/s","114271547.3128","0 %","0.0000","100 %","0000010000"
"06/01/2017 06:30:00 - 06:35:00","42886.9826388889","71,006,199 KByte","72710348034.6147","1,939,201 kbit/s","242400146.8016","34,659,260 KByte","35491082080.4484","946,555 kbit/s","118319382.8525","36,346,939 KByte","37219265954.1663","992,646 kbit/s","124080763.9491","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:35:00 - 06:40:00","42886.9861111111","68,561,487 KByte","70206962544.1917","1,872,310 kbit/s","234038811.0680","33,850,982 KByte","34663405353.9000","924,419 kbit/s","115552388.0055","34,710,505 KByte","35543557190.2917","947,891 kbit/s","118486423.0625","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:40:00 - 06:45:00","42886.9895833333","69,831,761 KByte","71507723103.4471","1,907,063 kbit/s","238382915.3030","36,230,124 KByte","37099646482.1951","989,423 kbit/s","123677856.0596","33,601,637 KByte","34408076621.2520","917,640 kbit/s","114705059.2434","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:45:00 - 06:50:00","42886.9930555556","67,254,753 KByte","68868867190.7761","1,836,626 kbit/s","229578195.8490","32,608,939 KByte","33391553328.6461","890,501 kbit/s","111312598.6021","34,645,814 KByte","35477313862.1300","946,125 kbit/s","118265597.2469","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:50:00 - 06:55:00","42886.9965277778","66,255,266 KByte","67845392638.1480","1,809,391 kbit/s","226173926.1864","30,824,771 KByte","31564565535.7120","841,806 kbit/s","105225741.0265","35,430,495 KByte","36280827102.4360","967,585 kbit/s","120948185.1600","0 %","0.0000","100 %","0000009999"
"06/01/2017 06:55:00 - 07:00:00","42887.0000000000","71,324,799 KByte","73036594135.7124","1,947,837 kbit/s","243479661.7519","32,820,734 KByte","33608431995.4077","896,314 kbit/s","112039310.5824","38,504,065 KByte","39428162140.3047","1,051,523 kbit/s","131440351.1695","0 %","0.0000","100 %","0000009999"
"06/01/2017 07:00:00 - 07:05:00","42887.0034722222","71,900,841 KByte","73626460954.6666","1,963,438 kbit/s","245429717.5061","34,217,153 KByte","35038364968.6126","934,388 kbit/s","116798443.1768","37,683,687 KByte","38588095986.0540","1,029,050 kbit/s","128631274.3293","0 %","0.0000","100 %","0000010000"
"06/01/2017 07:05:00 - 07:10:00","42887.0069444444","73,083,879 KByte","74837892170.6444","1,995,810 kbit/s","249476272.3203","35,518,912 KByte","36371365653.5772","969,968 kbit/s","121245968.5765","37,564,967 KByte","38466526517.0672","1,025,842 kbit/s","128230303.7438","0 %","0.0000","100 %","0000009999"
"06/01/2017 07:10:00 - 07:15:00","42887.0104166667","74,437,820 KByte","76224328051.6961","2,032,784 kbit/s","254098033.3745","37,420,438 KByte","38318528711.0723","1,021,896 kbit/s","127736944.8332","37,017,382 KByte","37905799340.6238","1,010,889 kbit/s","126361088.5413","0 %","0.0000","100 %","0000009999"
"06/01/2017 07:15:00 - 07:20:00","42887.0138888889","71,169,327 KByte","72877390451.4081","1,943,591 kbit/s","242948929.7310","35,006,400 KByte","35846554061.3797","956,004 kbit/s","119500463.5843","36,162,926 KByte","37030836390.0285","987,588 kbit/s","123448466.1467","0 %","0.0000","100 %","0000009999"
